doc_id,chunk_id,question
0,0,What is the date and time of the Aurora Borealis Tour?
0,0,How many adults are included in the booking?
0,0,What is the total price for the Aurora Borealis Tour?
0,0,In which language will the Aurora Borealis Tour be conducted?
0,0,What is the duration of the Aurora Borealis Tour?
0,1,Where should I go to meet my guide?
0,1,At what time should I arrive at the meeting point?
0,1,What is the address of the meeting point?
0,1,Where does the activity end?
0,1,What is the name of the hotel outside of which I should meet my guide?
0,2,Is a refund offered if the Northern Lights are not visible on the tour?
0,2,What is the estimated duration of the tour in Tromsø?
0,2,Can I be dropped off at an Airbnb after the tour?
0,2,Where is the drop-off location for the tour in Tromsø?
0,2,What factors can affect the duration of the Northern Lights tour?
0,3,What is the deadline to cancel the booking for a full refund?
0,3,Who is the activity provider for this booking?
0,3,What is the contact phone number for Arctic Breeze AS?
0,3,What is the booking reference number for this reservation?
0,3,How can I download the receipt for my payment?
0,4,How can I access my tickets offline for my trip?
0,4,Where should I contact if I have questions about my meeting point or pickup service?
0,4,What should I do if I need to reschedule or cancel my booking?
0,4,Who are the managing directors of GetYourGuide Deutschland GmbH?
0,4,Where is GetYourGuide Deutschland GmbH registered?
1,0,What is the price for 1 unit for 2 guests?
1,0,Are additional supplements like an extra bed included in the total price?
1,0,What happens if guests don't show up or cancel?
1,0,Will applicable taxes be charged if guests cancel?
1,0,Where is the location of the booking?
1,1,What is the maximum occupancy for the Standard Double Room?
1,1,Is there a meal option included with the Standard Double Room?
1,1,What amenities are included in the Standard Double Room?
1,1,What is the bed size in the Standard Double Room?
1,1,How can guests access the upper floors in the accommodation?
1,2,What is the daily cost for private parking at the hotel?
1,2,Is WiFi available in all areas of the hotel?
1,2,Do I need to make a reservation for private parking at the hotel?
1,2,What is the cost of parking per day at the hotel?
1,2,Is there an extra charge for WiFi at the hotel?
1,3,What is the booking confirmation number?
1,3,What is the PIN code for the booking?
1,3,How many days before arrival can you cancel free of charge?
1,3,What is the cancellation fee if you cancel within 3 days before arrival?
1,3,What is the no-show fee?
1,4,What is the check-in date and time for the booking?
1,4,What is the check-out date and time for the booking?
1,4,Where is the location of the booking?
1,4,What is the latest time I can check in on 30th November?
